Instance,Time Elapsed
APSEHW6.py,0.10776805877685547
alan.py,0.11065793037414551
batch.py,0.12196016311645508
batch0812.py,0.13663697242736816
batchdes.py,0.11424398422241211
batchs101006m.py,0.29311108589172363
batchs121208m.py,0.31072020530700684
batchs151208m.py,0.4296259880065918
batchs201210m.py,0.4547739028930664
clay0203h.py,0.13659882545471191
clay0203m.py,0.12252306938171387
clay0204h.py,0.1592090129852295
clay0204m.py,0.12783002853393555
clay0205h.py,0.26399803161621094
clay0205m.py,0.13519906997680664
clay0303h.py,0.1429901123046875
clay0303m.py,0.12561893463134766
clay0304h.py,0.2561609745025635
clay0304m.py,0.13187813758850098
clay0305h.py,0.2720530033111572
clay0305m.py,0.13900303840637207
enpro48pb.py,0.14128613471984863
enpro56pb.py,0.13789582252502441
ex1223.py,0.1146399974822998
ex1223a.py,0.11417198181152344
ex1223b.py,0.1141209602355957
ex4.py,0.12731003761291504
fac1.py,0.11556410789489746
fac2.py,0.12135100364685059
fac3.py,0.12283587455749512
flay02h.py,0.190932035446167
flay02m.py,0.11407804489135742
flay03h.py,0.13140201568603516
flay03m.py,0.11627197265625
flay04h.py,0.14551115036010742
flay04m.py,0.11974191665649414
flay05h.py,0.16219186782836914
flay05m.py,0.12255096435546875
flay06h.py,0.1789240837097168
flay06m.py,0.12661194801330566
fo7.py,0.13947701454162598
fo7_2.py,0.1397418975830078
fo8.py,0.1461961269378662
fo9.py,0.15094304084777832
gams01.py,0.7600040435791016
gbd.py,0.11336112022399902
hybriddynamic_fixed.py,0.12523198127746582
ibs2.py,0.7805309295654297
m3.py,0.1210169792175293
m6.py,0.13486099243164062
m7.py,0.139937162399292
meanvarx.py,0.12108016014099121
netmod_dol1.py,0.4343709945678711
netmod_dol2.py,0.7576019763946533
netmod_kar1.py,0.16139602661132812
netmod_kar2.py,0.17859101295471191
o7.py,0.140761137008667
o7_2.py,0.14143991470336914
portfol_classical050_1.py,0.14421391487121582
portfol_classical200_2.py,0.4713881015777588
procurement2mot.py,0.19014811515808105
ravempb.py,0.13679289817810059
risk2bpb.py,0.27611303329467773
rsyn0805h.py,0.1606600284576416
rsyn0805m.py,0.1481180191040039
rsyn0805m02h.py,0.3036811351776123
rsyn0805m02m.py,0.2826540470123291
rsyn0805m03h.py,0.3322279453277588
rsyn0805m03m.py,0.3096139430999756
rsyn0805m04h.py,0.4817371368408203
rsyn0805m04m.py,0.43956804275512695
rsyn0810h.py,0.16588902473449707
rsyn0810m.py,0.15098094940185547
rsyn0810m02h.py,0.31282496452331543
rsyn0810m02m.py,0.29019904136657715
rsyn0810m03h.py,0.3485841751098633
rsyn0810m03m.py,0.3176760673522949
rsyn0810m04h.py,0.5072329044342041
rsyn0810m04m.py,0.4531440734863281
rsyn0815h.py,0.17363500595092773
rsyn0815m.py,0.15631413459777832
rsyn0815m02h.py,0.32361793518066406
rsyn0815m02m.py,0.29821300506591797
rsyn0815m03h.py,0.4721839427947998
rsyn0815m03m.py,0.3230009078979492
rsyn0815m04h.py,0.537492036819458
rsyn0815m04m.py,0.4728970527648926
rsyn0820h.py,0.1768350601196289
rsyn0820m.py,0.16012001037597656
rsyn0820m02h.py,0.33336496353149414
rsyn0820m02m.py,0.30493712425231934
rsyn0820m03h.py,0.49082303047180176
rsyn0820m03m.py,0.44072914123535156
rsyn0820m04h.py,0.6631150245666504
rsyn0820m04m.py,0.5867710113525391
rsyn0830h.py,0.18719911575317383
rsyn0830m.py,0.16643500328063965
rsyn0830m02h.py,0.35169386863708496
rsyn0830m02m.py,0.31554412841796875
rsyn0830m03h.py,0.5262889862060547
rsyn0830m03m.py,0.4630591869354248
rsyn0830m04h.py,1.0181128978729248
rsyn0830m04m.py,0.6242830753326416
rsyn0840h.py,0.2963109016418457
rsyn0840m.py,0.1716768741607666
rsyn0840m02h.py,0.3725321292877197
rsyn0840m02m.py,0.3270590305328369
rsyn0840m03h.py,0.6657941341400146
rsyn0840m03m.py,0.4870429039001465
rsyn0840m04h.py,0.8740599155426025
rsyn0840m04m.py,0.693911075592041
slay04h.py,0.14105582237243652
slay04m.py,0.1343979835510254
slay05h.py,0.16031193733215332
slay05m.py,0.1386089324951172
slay06h.py,0.17208194732666016
slay06m.py,0.14449095726013184
slay07h.py,0.16772699356079102
slay07m.py,0.14924192428588867
slay08h.py,0.2350308895111084
slay08m.py,0.15655803680419922
slay09h.py,0.21509790420532227
slay09m.py,0.1636040210723877
slay10h.py,0.2308349609375
slay10m.py,0.17029023170471191
squfl010-025.py,0.16639280319213867
squfl010-040.py,0.1848599910736084
squfl010-080.py,0.22426390647888184
squfl015-060.py,0.22713994979858398
squfl015-080.py,0.24916911125183105
squfl020-040.py,0.21722888946533203
squfl020-050.py,0.2382969856262207
squfl020-150.py,0.543691873550415
squfl025-025.py,0.20286989212036133
squfl025-030.py,0.2200770378112793
squfl025-040.py,0.23909592628479004
squfl030-100.py,0.5363221168518066
squfl030-150.py,0.7986090183258057
squfl040-080.py,0.5665130615234375
sssd08-04.py,0.1353437900543213
sssd12-05.py,0.14260292053222656
sssd15-04.py,0.14101099967956543
sssd15-06.py,0.1454010009765625
sssd15-08.py,0.14919590950012207
sssd16-07.py,0.14674806594848633
sssd18-06.py,0.14613008499145508
sssd18-08.py,0.1508338451385498
sssd20-04.py,0.1424548625946045
sssd20-08.py,0.15312600135803223
sssd22-08.py,0.15258479118347168
sssd25-04.py,0.1444549560546875
sssd25-08.py,0.22176599502563477
st_e14.py,0.13378620147705078
stockcycle.py,0.16360998153686523
syn05h.py,0.13814592361450195
syn05m.py,0.1340949535369873
syn05m02h.py,0.14981889724731445
syn05m02m.py,0.14346909523010254
syn05m03h.py,0.15951895713806152
syn05m03m.py,0.15091609954833984
syn05m04h.py,0.16892409324645996
syn05m04m.py,0.15908098220825195
syn10h.py,0.14499402046203613
syn10m.py,0.13822007179260254
syn10m02h.py,0.16335201263427734
syn10m02m.py,0.15385103225708008
syn10m03h.py,0.18022918701171875
syn10m03m.py,0.16343903541564941
syn10m04h.py,0.1954789161682129
syn10m04m.py,0.17768096923828125
syn15h.py,0.14978790283203125
syn15m.py,0.14327001571655273
syn15m02h.py,0.17997407913208008
syn15m02m.py,0.16466808319091797
syn15m03h.py,0.19977903366088867
syn15m03m.py,0.18125414848327637
syn15m04h.py,0.32042598724365234
syn15m04m.py,0.2979609966278076
syn20h.py,0.15943598747253418
syn20m.py,0.1478269100189209
syn20m02h.py,0.1911330223083496
syn20m02m.py,0.17262911796569824
syn20m03h.py,0.21669697761535645
syn20m03m.py,0.2914729118347168
syn20m04h.py,0.3378150463104248
syn20m04m.py,0.31058382987976074
syn30h.py,0.16999602317810059
syn30m.py,0.1493380069732666
syn30m02h.py,0.21156692504882812
syn30m02m.py,0.18868589401245117
syn30m03h.py,0.3418598175048828
syn30m03m.py,0.3141031265258789
syn30m04h.py,0.3810598850250244
syn30m04m.py,0.3380310535430908
syn40h.py,0.28145599365234375
syn40m.py,0.16192889213562012
syn40m02h.py,0.3309779167175293
syn40m02m.py,0.2046670913696289
syn40m03h.py,0.3723149299621582
syn40m03m.py,0.32016706466674805
syn40m04h.py,0.4289429187774658
syn40m04m.py,0.3684201240539551
synthes1.py,0.1342918872833252
synthes2.py,0.13611698150634766
synthes3.py,0.13865399360656738
unitcommit1.py,1.9435479640960693
watercontamination0202.py,10.518188953399658
watercontamination0202r.py,0.33690905570983887
watercontamination0303.py,10.22504711151123
watercontamination0303r.py,1.1940269470214844
